unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1.67784E+12,3/3/2023 10:00,BTC/USD,22360,22378,22339,22349,5641505.95,252.4276679
1.67783E+12,3/3/2023 9:00,BTC/USD,22431,22474,22350,22360,4016232.271,179.6168279
1.67783E+12,3/3/2023 8:00,BTC/USD,22364,22444,22359,22431,695589.1134,31.01016956
1.67783E+12,3/3/2023 7:00,BTC/USD,22374,22393,22337,22365,1078295.009,48.21350366
1.67782E+12,3/3/2023 6:00,BTC/USD,22344,22398,22331,22375,389378.2145,17.4023783
1.67782E+12,3/3/2023 5:00,BTC/USD,22376,22407,22332,22345,1177346.511,52.68948362
1.67782E+12,3/3/2023 4:00,BTC/USD,22318,22383,22259,22377,1143673.475,51.10932991
1.67781E+12,3/3/2023 3:00,BTC/USD,22356,22408,22293,22318,2780230.21,124.5734479
1.67781E+12,3/3/2023 2:00,BTC/USD,22165,22461,22104,22356,4275551.617,191.2485068
1.67781E+12,3/3/2023 1:00,BTC/USD,23430,23433,21910,22179,23976108.46,1081.027479
1.6778E+12,3/3/2023 0:00,BTC/USD,23474,23482,23422,23430,95026.57278,4.05576495
1.6778E+12,3/2/2023 23:00,BTC/USD,23474,23505,23451,23472,1559915.043,66.45854817
1.67779E+12,3/2/2023 22:00,BTC/USD,23428,23559,23428,23473,535865.4916,22.82901596
1.67779E+12,3/2/2023 21:00,BTC/USD,23471,23475,23402,23428,448507.9781,19.14410014
1.67779E+12,3/2/2023 20:00,BTC/USD,23473,23561,23440,23467,469479.6707,20.00595179
1.67778E+12,3/2/2023 19:00,BTC/USD,23458,23506,23401,23474,403921.9281,17.20720491
1.67778E+12,3/2/2023 18:00,BTC/USD,23274,23459,23264,23455,399292.6152,17.02377383
1.67778E+12,3/2/2023 17:00,BTC/USD,23280,23315,23241,23275,324584.2468,13.94561748
1.67777E+12,3/2/2023 16:00,BTC/USD,23366,23388,23262,23275,1621080.244,69.64899008
1.67777E+12,3/2/2023 15:00,BTC/USD,23313,23377,23279,23371,356952.2814,15.27329945
1.67777E+12,3/2/2023 14:00,BTC/USD,23307,23343,23205,23315,1594779.526,68.40143794
1.67776E+12,3/2/2023 13:00,BTC/USD,23352,23408,23257,23305,1789961.462,76.8058984
1.67776E+12,3/2/2023 12:00,BTC/USD,23418,23437,23331,23354,408581.9578,17.49515962
1.67775E+12,3/2/2023 11:00,BTC/USD,23378,23428,23369,23418,283948.2076,12.1252117
1.67775E+12,3/2/2023 10:00,BTC/USD,23406,23420,23350,23379,227573.0795,9.73408099
1.67775E+12,3/2/2023 9:00,BTC/USD,23448,23470,23405,23406,191072.9268,8.16341651
1.67774E+12,3/2/2023 8:00,BTC/USD,23390,23466,23355,23448,496728.3292,21.1842515
1.67774E+12,3/2/2023 7:00,BTC/USD,23445,23449,23351,23392,1064716.316,45.51625838
1.67774E+12,3/2/2023 6:00,BTC/USD,23444,23474,23391,23445,649236.2473,27.69188515
1.67773E+12,3/2/2023 5:00,BTC/USD,23544,23546,23424,23447,309342.5093,13.19326606
1.67773E+12,3/2/2023 4:00,BTC/USD,23502,23546,23481,23544,116421.0424,4.94482851
1.67773E+12,3/2/2023 3:00,BTC/USD,23505,23511,23437,23502,301566.1468,12.83150995
1.67772E+12,3/2/2023 2:00,BTC/USD,23522,23545,23465,23505,189711.4427,8.07111009
1.67772E+12,3/2/2023 1:00,BTC/USD,23613,23639,23460,23521,932599.5075,39.64965382
1.67772E+12,3/2/2023 0:00,BTC/USD,23645,23800,23607,23608,1736938.053,73.57412965
1.67771E+12,3/1/2023 23:00,BTC/USD,23542,23675,23514,23646,1585093.44,67.03431616
1.67771E+12,3/1/2023 22:00,BTC/USD,23566,23576,23458,23542,441790.54,18.76605811
1.6777E+12,3/1/2023 21:00,BTC/USD,23430,23599,23390,23567,391838.6776,16.62658283
1.6777E+12,3/1/2023 20:00,BTC/USD,23366,23485,23325,23417,786740.6856,33.59698875
1.6777E+12,3/1/2023 19:00,BTC/USD,23700,23700,23350,23366,4293258.924,183.7395756
1.67769E+12,3/1/2023 18:00,BTC/USD,23712,23728,23665,23699,176628.8781,7.45300975
1.67769E+12,3/1/2023 17:00,BTC/USD,23703,23749,23683,23710,677278.2509,28.56508861
1.67769E+12,3/1/2023 16:00,BTC/USD,23717,23742,23567,23703,702936.0858,29.65599653
1.67768E+12,3/1/2023 15:00,BTC/USD,23694,23773,23589,23721,1047722.202,44.16855114
1.67768E+12,3/1/2023 14:00,BTC/USD,23702,23896,23585,23679,2476561.156,104.588925
1.67768E+12,3/1/2023 13:00,BTC/USD,23738,23739,23627,23707,986098.2198,41.59523431
1.67767E+12,3/1/2023 12:00,BTC/USD,23744,23823,23710,23739,726115.5608,30.58745359
1.67767E+12,3/1/2023 11:00,BTC/USD,23784,23795,23716,23743,735180.6156,30.96409955
1.67766E+12,3/1/2023 10:00,BTC/USD,23766,23792,23692,23784,1823591.116,76.67302033
